source_line,unix_time,monotonic,group_sequence_le,fragment_le,att_value_hex
666,1789484858.4147928,46759.2467196,198,2,c6000200d3c13533277aa98d0000c6005d96606d
667,1789484858.4333158,46759.2652426,199,0,c7000000da6cc608920c4034a35be7615b1c71af
668,1789484858.4340062,46759.2659329,199,1,c7000100a568faab04605e6cf68f312630908729
669,1789484858.434806,46759.2667328,199,2,c7000200f58c2154447121430000c70030908729
670,1789484858.4533465,46759.2852734,200,0,c8000000ce6bf601d1055b3d84f5ce993857d467
671,1789484858.4540236,46759.2859506,200,1,c800010017b2a2621298f621dc28adef9befe002
672,1789484858.454774,46759.2867007,200,2,c8000200900f5bd6576449b80000c8009befe002
673,1789484858.4732847,46759.3052112,201,0,c90000003a6d3fc87255854c11d5000753848d00
674,1789484858.474001,46759.3059278,201,1,c90001007f13f0400715c42044203d44738dea55
675,1789484858.4747727,46759.3066995,201,2,c90002008d8b32650c3be9fb0000c900738dea55
676,1789484858.4932854,46759.3252123,202,0,ca0000002a6cc056b21c600f0b8db4b6fade839c
677,1789484858.4939792,46759.3259059,202,1,ca0001001547326d1e3f3f44111dd1e7cb2e549d
678,1789484858.4947608,46759.3266875,202,2,ca000200f0c4bb9e221ee9810000ca00cb2e549d
679,1789484858.513311,46759.3452378,203,0,cb0000005a75dec45eccf3498c9b36be4761ac13
680,1789484858.513985,46759.3459119,203,1,cb00010096976bf37643babddde0f3699788f226
681,1789484858.5147958,46759.3467226,203,2,cb000200709ab643777ba9c50000cb009788f226
682,1789484858.53333,46759.3652567,204,0,cc000000d66c0962579682b0939c8432689998fd
683,1789484858.5340235,46759.3659501,204,1,cc00010083761450a68e9464d40fd9164a7c3089
684,1789484858.5347674,46759.3666941,204,2,cc000200601857889c2fc9740000cc004a7c3089
685,1789484858.5532901,46759.3852171,205,0,cd0000009662e7c4dd10f54e59cea5e35326de68
686,1789484858.5540001,46759.3859269,205,1,cd000100867658f2e3e0f7942f52a103d25b3489
687,1789484858.5548413,46759.3867682,205,2,cd000200f3005eec32cae97b0000cd00d25b3489
688,1789484858.573309,46759.4052356,206,0,ce000000aa6cc404109750394e9b343f197aa4c3
689,1789484858.5740113,46759.4059381,206,1,ce000100be07e7e17528153e1f63bdd80231e0b5
690,1789484858.5747738,46759.4067006,206,2,ce000200e9a717854e7b19b50000ce000231e0b5
691,1789484858.593303,46759.4252298,207,0,cf000000eb747fcc340b85b6b299d01e030f92e0
692,1789484858.593988,46759.4259146,207,1,cf0001008660d63c1fba1c4816cc071cc4c329d1
693,1789484858.5947783,46759.426705,207,2,cf0002001d6c42614839e91b0000cf00c4c329d1
694,1789484858.613301,46759.4452278,208,0,d0000000b664226037bc19c999a123af04917fe2
695,1789484858.6140027,46759.4459294,208,1,d0000100d54ad4b57cb84d557940689587ac46fa
696,1789484858.6148086,46759.4467354,208,2,d00002008721394e5019e94b0000d00087ac46fa
697,1789484858.633303,46759.4652299,209,0,d1000000d66c346c1cc2ebe85442aef1faa5fb63
698,1789484858.6339996,46759.4659264,209,1,d1000100175cffe86c2cf3e384ff81f24a88d450
699,1789484858.6347747,46759.4667017,209,2,d1000200fea517609d9be97b0000d1004a88d450
700,1789484858.653307,46759.4852338,210,0,d2000000565be7cc37384d01c59bd95dfb437690
701,1789484858.65399,46759.485917,210,1,d20001003235d220b886b7a1ca309e3475d94c73
702,1789484858.654815,46759.4867418,210,2,d2000200b726a71c0ecce9630000d20075d94c73
703,1789484858.6733272,46759.5052539,211,0,d3000000da6c020734480452a30d1665b0cbaab0
704,1789484858.674012,46759.5059386,211,1,d30001000c32d2d50f0036430bd3b9f8b87de5ec
705,1789484858.6747763,46759.5067032,211,2,d3000200f228d7319d83e9d10000d300b87de5ec
706,1789484858.6933773,46759.5253042,212,0,d40000006e5be2021a61bbd56392de77b245bdcc
707,1789484858.6939917,46759.5259186,212,1,d40001003442230b5f51e086022302090d4f643f
708,1789484858.6947997,46759.5267263,212,2,d4000200c4e4a7157ef8e95b0000d4000d4f643f
709,1789484858.7133534,46759.5452803,213,0,d5000000da6c32c435164092bfdab7fff932223b
710,1789484858.7139986,46759.5459255,213,1,d5000100ae82ad726e80cfeffd9c9c787f7d1b53
711,1789484858.714764,46759.5466907,213,2,d5000200b59c874b503ee9130000d5007f7d1b53
712,1789484858.7333272,46759.5652538,214,0,d6000000aa647f0426474ff4ff46f370fcb8928c
713,1789484858.734012,46759.5659387,214,1,d60001002e15b0a40c6494652f4ad2025bd8d3b8
714,1789484858.734795,46759.5667219,214,2,d6000200df2e0ed7003bcdd60000d6005bd8d3b8
715,1789484858.7533114,46759.5852382,215,0,d7000000a76c6c61430ad255e7cd572d03040d8f
716,1789484858.7540278,46759.5859545,215,1,d700010023465034c8bc5a42ec742f54ddc68692
717,1789484858.7547548,46759.5866814,215,2,d7000200452858c11c6051930000d700ddc68692
