source_line,unix_time,monotonic,group_sequence_le,fragment_le,att_value_hex
292,1789484798.2815373,46699.1134641,77,1,4d0001007a29aa13363441c40580f66a6e87de56
293,1789484798.2822845,46699.1142113,77,2,4d0002002ead18e4bf84e9f30b004d006e87de56
294,1789484798.300821,46699.1327478,78,0,4e00000099c9ab4c8217074420ba92b9c14c42d9
295,1789484798.3015091,46699.1334359,78,1,4e000100707247c251050cc8815273048a38d974
296,1789484798.3022637,46699.1341907,78,2,4e0002003c3ba462f03551e10b004e008a38d974
297,1789484798.3215241,46699.1534511,79,0,4f0000007ec9bb2091598e4819b7157fbe44d482
298,1789484798.322378,46699.1543049,79,1,4f0001005c583945cfd48b4fb0464fb75559d721
299,1789484798.323053,46699.1549795,79,2,4f0002006125172cab2201e10b004f005559d721
300,1789484798.3407755,46699.1727023,80,0,5000000060c9bf7ca3763896ad4ecfb515886610
301,1789484798.3415227,46699.1734495,80,1,500001002eff8750ac4f2b49f8946940e1b8d12e
302,1789484798.3422706,46699.1741975,80,2,500002000582d204aaafe9fb0a005000e1b8d12e
303,1789484798.360821,46699.1927478,81,0,5100000073ce3c528a8846b11b627242362d420e
304,1789484798.3614972,46699.1934237,81,1,51000100b4293a5697d47c2c27ea1fdeef79b87d
305,1789484798.3622665,46699.1941935,81,2,51000200de742a7fc12859bc09005100ef79b87d
306,1789484798.402501,46699.2344279,82,0,5200000094c982b806417c4b2683bfd0b18284fc
307,1789484798.4042444,46699.2361714,82,1,52000100529f4783a295706f70eea3ccf87535d7
308,1789484798.4175224,46699.2494496,82,2,52000200bb7ebc4d611de9fb08005200f87535d7
309,1789484798.420566,46699.2524929,83,0,53000000dfc9a2b53c09c7a654ad2834811c0aca
310,1789484798.4207656,46699.2526926,83,1,5300010092adaec343188c2456af3c3c793c232b
311,1789484798.4208944,46699.2528212,83,2,53000200423a21c1e219e98b07005300793c232b
312,1789484798.4215522,46699.2534788,84,0,5400000011c91e5820ec0f07625411002b310511
313,1789484798.4217188,46699.2536454,84,1,5400010023ad3db58c07777c57a8dc67efe15e54
314,1789484798.4222546,46699.2541815,84,2,540002005096c22a9431e98b06005400efe15e54
315,1789484798.4410682,46699.2729949,85,0,55000000deca3eae0668fdee429c9c285052d4e5
316,1789484798.4415798,46699.2735067,85,1,55000100377c0a2f7cc36f41ad12c7248d814861
317,1789484798.4423003,46699.2742272,85,2,5500020088722f83aa934952050055008d814861
318,1789484798.4608397,46699.2927664,86,0,560000003aca8055942c8a88fbd89849aa0490b3
319,1789484798.461498,46699.2934248,86,1,56000100a5a966232d1e7250735c5273dd2a1256
320,1789484798.4622684,46699.2941952,86,2,560002000ec3151eb2b7e93b04005600dd2a1256
321,1789484798.4807956,46699.3127225,87,0,570000009ec43a545776368fa09265670eec098a
322,1789484798.4815059,46699.3134326,87,1,57000100cab2a604bff73f895a644e0b842806c1
323,1789484798.4822845,46699.3142113,87,2,5700020034f9c20cbea2617404005700842806c1
324,1789484798.5008101,46699.332737,88,0,58000000e6cd332044fde2f63f641bf114415061
325,1789484798.5015075,46699.3334344,88,1,5800010019b6a4574ae752d6ea9820da93825938
326,1789484798.5023074,46699.3342341,88,2,580002004f6d2478ec9469d00300580093825938
327,1789484798.5207863,46699.352713,89,0,5900000066bdd30d8382aa00fbd79d90cf97ce72
328,1789484798.5214946,46699.3534213,89,1,5900010002455626a6386204bd317ff0b801c38a
329,1789484798.522274,46699.3542007,89,2,590002009fb24ab6bb9b533602005900b801c38a
330,1789484798.5407865,46699.3727132,90,0,5a00000072b4fb441a85d142cee83016a1654d42
331,1789484798.5414994,46699.3734262,90,1,5a00010006f82217eb41d19437220db0639c3033
332,1789484798.5422816,46699.3742086,90,2,5a000200ce2baa229463a36201005a00639c3033
